Ticker,Current_Price,Observation_Time,Target_Forecast_Time,10H_Bullish_Probability,Signal
BTC-USD,63578.78,2026-08-13 00:00,2026-08-13 10:00,0.3958,NEUTRAL / WATCHLIST
BTC-USD,63578.78,2026-08-13 01:00,2026-08-13 11:00,0.3704,NEUTRAL / WATCHLIST
BTC-USD,63578.78,2026-08-13 02:00,2026-08-13 12:00,0.3999,NEUTRAL / WATCHLIST
BTC-USD,63578.78,2026-08-13 03:00,2026-08-13 13:00,0.387,NEUTRAL / WATCHLIST
BTC-USD,63578.78,2026-08-13 04:00,2026-08-13 14:00,0.279,BEARISH / WEAK
BTC-USD,63578.78,2026-08-13 05:00,2026-08-13 15:00,0.3318,BEARISH / WEAK
BTC-USD,63578.78,2026-08-13 06:00,2026-08-13 16:00,0.3318,BEARISH / WEAK
BTC-USD,63578.78,2026-08-13 07:00,2026-08-13 17:00,0.3458,BEARISH / WEAK
BTC-USD,63578.78,2026-08-13 08:00,2026-08-13 18:00,0.3458,BEARISH / WEAK
BTC-USD,63578.78,2026-08-13 09:00,2026-08-13 19:00,0.3537,BEARISH / WEAK
ETH-USD,1883.28,2026-08-13 00:00,2026-08-13 10:00,0.4368,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 01:00,2026-08-13 11:00,0.4121,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 02:00,2026-08-13 12:00,0.4162,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 03:00,2026-08-13 13:00,0.4162,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 04:00,2026-08-13 14:00,0.4121,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 05:00,2026-08-13 15:00,0.4226,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 06:00,2026-08-13 16:00,0.4226,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 07:00,2026-08-13 17:00,0.4226,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 08:00,2026-08-13 18:00,0.4346,NEUTRAL / WATCHLIST
ETH-USD,1883.28,2026-08-13 09:00,2026-08-13 19:00,0.4266,NEUTRAL / WATCHLIST
SOL-USD,75.93,2026-08-13 00:00,2026-08-13 10:00,0.5004,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 01:00,2026-08-13 11:00,0.5039,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 02:00,2026-08-13 12:00,0.5207,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 03:00,2026-08-13 13:00,0.519,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 04:00,2026-08-13 14:00,0.4905,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 05:00,2026-08-13 15:00,0.4896,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 06:00,2026-08-13 16:00,0.4853,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 07:00,2026-08-13 17:00,0.4899,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 08:00,2026-08-13 18:00,0.4826,BULLISH (P >= 0.45)
SOL-USD,75.93,2026-08-13 09:00,2026-08-13 19:00,0.4913,BULLISH (P >= 0.45)
BNB-USD,612.12,2026-08-13 00:00,2026-08-13 10:00,0.3257,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 01:00,2026-08-13 11:00,0.323,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 02:00,2026-08-13 12:00,0.2932,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 03:00,2026-08-13 13:00,0.3042,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 04:00,2026-08-13 14:00,0.3023,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 05:00,2026-08-13 15:00,0.3023,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 06:00,2026-08-13 16:00,0.3067,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 07:00,2026-08-13 17:00,0.3067,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 08:00,2026-08-13 18:00,0.3087,BEARISH / WEAK
BNB-USD,612.12,2026-08-13 09:00,2026-08-13 19:00,0.3259,BEARISH / WEAK
DOGE-USD,0.07,2026-08-13 00:00,2026-08-13 10:00,0.5198,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 01:00,2026-08-13 11:00,0.5166,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 02:00,2026-08-13 12:00,0.5166,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 03:00,2026-08-13 13:00,0.5166,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 04:00,2026-08-13 14:00,0.5166,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 05:00,2026-08-13 15:00,0.5225,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 06:00,2026-08-13 16:00,0.5225,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 07:00,2026-08-13 17:00,0.5225,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 08:00,2026-08-13 18:00,0.5198,BULLISH (P >= 0.45)
DOGE-USD,0.07,2026-08-13 09:00,2026-08-13 19:00,0.5198,BULLISH (P >= 0.45)
