Ticker,Current_Price,Observation_Time,Target_Forecast_Time,10H_Bullish_Probability,Signal
ETH-USD,1876.78,2026-08-13 21:30,2026-08-14 07:30,0.2434,BEARISH / WEAK
ETH-USD,1876.78,2026-08-13 22:00,2026-08-14 08:00,0.2761,BEARISH / WEAK
ETH-USD,1876.78,2026-08-13 22:30,2026-08-14 08:30,0.2667,BEARISH / WEAK
ETH-USD,1876.78,2026-08-13 23:00,2026-08-14 09:00,0.2622,BEARISH / WEAK
ETH-USD,1876.78,2026-08-13 23:30,2026-08-14 09:30,0.3188,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 00:00,2026-08-14 10:00,0.2759,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 00:30,2026-08-14 10:30,0.2877,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 01:00,2026-08-14 11:00,0.2845,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 01:30,2026-08-14 11:30,0.2435,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 02:00,2026-08-14 12:00,0.2845,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 02:30,2026-08-14 12:30,0.2393,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 03:00,2026-08-14 13:00,0.2582,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 03:30,2026-08-14 13:30,0.2546,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 04:00,2026-08-14 14:00,0.2829,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 04:30,2026-08-14 14:30,0.2246,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 05:00,2026-08-14 15:00,0.2738,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 05:30,2026-08-14 15:30,0.2445,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 06:00,2026-08-14 16:00,0.286,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 06:30,2026-08-14 16:30,0.294,BEARISH / WEAK
ETH-USD,1876.78,2026-08-14 07:00,2026-08-14 17:00,0.294,BEARISH / WEAK
